,Stage1.Output.Measurement9.U.Actual
2419,18.99
2420,18.99
2421,19.02
2422,19.02
2423,19.02
2424,19.0
2425,19.0
2426,19.0
2427,19.0
2428,19.07
2429,19.07
2430,19.14
2431,19.14
2432,19.04
2433,19.04
2434,19.04
2435,18.98
2436,18.98
2437,19.03
2438,19.03
2439,18.97
2440,18.97
2441,19.09
2442,19.09
2443,19.09
2444,19.41
2445,19.41
2446,19.0
2447,19.0
2448,19.46
2449,19.46
2450,19.05
2451,19.05
2452,19.05
2453,19.38
2454,19.38
2455,19.02
2456,19.02
2457,19.15
2458,19.15
2459,19.11
2460,19.11
2461,19.39
2462,19.39
2463,19.39
2464,19.39
2465,19.39
2466,19.08
2467,19.08
2468,19.02
2469,19.02
2470,19.42
2471,19.42
2472,19.13
2473,19.13
2474,19.13
2475,19.18
2476,19.18
2477,19.08
2478,19.08
2479,19.37
2480,19.37
2481,19.08
2482,19.08
2483,19.2
2484,19.2
2485,19.2
2486,19.15
2487,19.15
2488,19.21
2489,19.21
2490,19.2
2491,19.2
2492,19.04
2493,19.04
2494,19.04
2495,18.99
2496,18.99
2497,19.1
2498,19.1
2499,19.11
2500,19.11
2501,19.06
2502,19.06
2503,19.52
2504,19.52
2505,19.52
2506,19.1
2507,19.1
2508,19.06
2509,19.06
2510,19.06
2511,19.18
2512,19.18
2513,19.44
2514,19.44
2515,19.1
2516,19.1
2517,19.1
2518,19.1
2519,19.1
2520,19.53
2521,19.53
2522,19.12
2523,19.12
2524,19.09
2525,19.09
2526,19.5
2527,19.5
2528,19.5
2529,19.04
2530,19.04
2531,19.07
2532,19.07
2533,19.08
2534,19.08
2535,19.37
2536,19.37
2537,19.37
2538,19.4
2539,19.4
2540,18.92
2541,18.92
2542,19.01
2543,19.01
2544,19.01
2545,19.42
2546,19.42
2547,18.93
2548,18.93
2549,18.98
2550,18.98
2551,19.32
2552,19.32
2553,19.32
2554,19.07
2555,19.07
2556,19.42
2557,19.42
2558,18.94
2559,18.94
2560,18.94
2561,19.02
2562,19.02
2563,19.38
2564,19.38
2565,18.95
2566,18.95
2567,19.45
2568,19.45
2569,19.37
2570,19.37
2571,19.37
2572,19.02
2573,19.02
2574,19.06
2575,19.06
2576,19.05
2577,19.05
2578,19.04
2579,19.04
2580,19.04
2581,19.35
2582,19.02
2583,19.02
2584,19.02
2585,18.98
2586,18.98
2587,19.42
2588,19.42
2589,19.01
2590,19.01
2591,19.36
2592,19.36
2593,19.07
2594,19.07
2595,19.07
2596,19.07
2597,19.07
2598,19.06
2599,19.06
2600,19.37
2601,19.37
2602,18.95
2603,18.95
2604,19.04
2605,19.04
2606,19.09
2607,19.09
2608,19.4
2609,19.4
2610,19.42
2611,19.42
2612,19.07
2613,19.07
2614,19.07
2615,19.35
2616,19.35
2617,19.02
2618,19.02
2619,19.0
2620,19.0
2621,19.0
2622,18.45
2623,18.45
2624,18.82
2625,18.82
2626,18.97
2627,18.97
2628,18.97
2629,19.06
2630,19.06
2631,19.06
2632,19.06
2633,19.02
2634,19.02
2635,19.02
2636,19.04
2637,19.04
2638,19.41
2639,19.41
2640,19.41
2641,19.47
2642,19.47
2643,19.39
2644,19.39
2645,19.09
2646,19.09
2647,19.09
2648,18.91
2649,18.91
2650,19.01
2651,19.01
2652,19.07
2653,19.07
2654,19.07
2655,19.04
2656,19.04
2657,19.07
2658,19.07
2659,19.03
2660,19.03
2661,19.06
2662,19.06
2663,19.06
2664,19.04
2665,19.04
2666,19.01
2667,19.01
2668,19.01
2669,19.01
2670,19.08
2671,19.08
2672,19.4
2673,19.4
2674,19.4
2675,19.06
2676,19.06
2677,19.01
2678,19.01
2679,19.05
2680,19.05
2681,19.05
2682,19.04
2683,19.04
2684,19.04
2685,19.04
2686,19.04
2687,18.98
2688,18.98
2689,18.97
2690,18.97
2691,18.99
2692,18.99
2693,19.38
2694,19.38
2695,19.38
2696,19.09
2697,19.09
2698,19.0
2699,19.0
2700,18.97
2701,18.97
2702,19.02
2703,19.02
2704,19.02
2705,19.41
2706,19.41
2707,19.06
2708,19.06
2709,19.01
2710,19.01
2711,19.01
2712,19.03
2713,19.03
2714,19.04
2715,19.04
2716,19.04
2717,19.04
2718,19.04
2719,19.0
2720,19.0
2721,19.0
2722,19.0
2723,19.0
2724,19.0
2725,19.02
2726,19.02
2727,19.02
2728,18.97
2729,18.97
2730,19.1
2731,19.1
2732,19.1
2733,19.1
2734,19.1
2735,19.04
2736,19.04
2737,19.14
2738,19.14
2739,19.03
2740,19.03
2741,19.05
2742,19.05
2743,19.05
2744,19.0
2745,19.0
2746,19.06
2747,19.06
2748,19.06
2749,18.99
2750,18.99
2751,18.95
2752,18.95
2753,18.95
2754,18.95
2755,19.02
2756,19.02
2757,19.02
2758,19.4
2759,19.4
2760,19.04
2761,19.04
2762,19.11
2763,19.11
2764,19.11
2765,19.09
2766,19.09
2767,19.06
2768,19.06
2769,19.43
2770,19.43
2771,19.1
2772,19.1
2773,19.1
2774,18.99
2775,18.99
2776,19.02
2777,19.02
2778,19.02
2779,19.05
2780,19.05
2781,19.05
2782,19.05
2783,19.05
2784,19.05
2785,19.05
2786,19.04
2787,19.04
2788,19.01
2789,19.01
2790,19.01
2791,19.01
2792,19.01
2793,18.98
2794,18.98
2795,19.44
2796,19.44
2797,18.99
2798,18.99
2799,18.99
2800,19.0
2801,19.0
2802,19.02
2803,19.02
2804,19.33
2805,19.33
2806,19.33
2807,19.03
2808,19.03
2809,19.02
2810,19.02
2811,19.05
2812,19.05
2813,19.05
2814,18.98
2815,18.98
2816,19.04
2817,19.04
2818,19.07
2819,19.07
2820,19.07
2821,19.13
2822,19.13
2823,18.99
2824,18.99
2825,19.05
2826,19.05
2827,19.05
2828,19.03
2829,19.03
2830,19.03
2831,19.03
2832,19.01
2833,19.01
2834,19.01
2835,18.97
2836,18.97
2837,19.01
2838,19.01
2839,18.98
2840,18.98
2841,19.08
2842,19.08
2843,19.08
2844,19.06
2845,19.06
2846,19.01
2847,19.01
2848,19.07
2849,19.07
2850,19.07
2851,18.99
2852,18.99
2853,18.99
2854,18.99
2855,19.41
2856,19.41
2857,19.41
2858,19.01
2859,19.01
2860,19.0
2861,19.0
2862,19.04
2863,19.04
2864,19.04
2865,19.08
2866,19.08
2867,19.04
2868,19.04
2869,18.96
2870,18.96
2871,19.4
2872,19.4
2873,19.4
2874,19.08
2875,19.08
2876,19.04
2877,19.04
2878,19.13
2879,19.13
2880,19.13
2881,19.05
2882,19.05
2883,19.43
2884,19.43
2885,19.08
2886,19.08
2887,19.08
2888,18.95
2889,18.95
2890,19.03
2891,19.03
2892,19.03
2893,19.03
2894,19.03
2895,19.12
2896,19.12
2897,19.03
2898,19.03
2899,19.03
2900,19.07
2901,19.07
2902,19.06
2903,19.06
2904,19.06
2905,19.06
2906,19.09
2907,19.09
2908,19.09
2909,19.01
2910,19.01
2911,19.12
2912,19.12
2913,19.12
2914,19.02
2915,19.02
2916,19.07
2917,19.07
2918,19.01
2919,19.01
2920,19.01
2921,19.01
2922,19.01
2923,19.01
2924,19.01
2925,18.93
2926,18.93
2927,19.03
2928,19.03
2929,19.03
2930,19.1
2931,19.1
2932,19.02
2933,19.02
2934,19.0
2935,19.0
2936,19.0
2937,19.12
2938,19.12
2939,19.05
2940,19.05
2941,19.07
2942,19.07
2943,19.07
2944,18.95
2945,18.95
2946,19.03
2947,19.03
2948,19.03
2949,19.07
2950,19.07
2951,19.01
2952,19.01
2953,19.07
2954,19.07
2955,19.07
2956,19.01
2957,19.01
2958,19.09
2959,19.09
2960,18.95
2961,18.95
2962,18.95
2963,19.06
2964,19.06
2965,19.0
2966,19.0
2967,19.02
2968,19.02
2969,19.11
2970,19.11
2971,19.11
2972,19.15
2973,19.15
2974,19.03
2975,19.03
2976,19.03
2977,19.08
2978,19.08
2979,18.97
2980,18.97
2981,18.98
2982,18.98
2983,18.98
2984,18.99
2985,18.99
2986,19.39
2987,19.39
2988,19.06
2989,19.06
2990,19.02
2991,19.02
2992,19.02
2993,18.96
2994,18.96
2995,19.07
2996,19.07
2997,19.05
2998,19.05
2999,19.05
3000,18.99
3001,18.99
3002,19.0
3003,19.0
3004,19.07
3005,19.07
3006,19.07
3007,19.04
3008,19.04
3009,19.01
3010,19.01
3011,19.08
3012,19.08
3013,18.97
3014,18.97
3015,18.97
3016,18.96
3017,18.96
3018,19.01
3019,19.01
3020,18.97
3021,18.97
3022,18.97
3023,18.96
3024,18.96
3025,19.02
3026,19.02
3027,18.97
3028,18.97
3029,18.97
3030,19.04
3031,19.04
3032,19.05
3033,19.05
3034,18.93
3035,18.93
3036,18.93
3037,19.12
3038,19.12
3039,18.94
3040,18.94
3041,18.95
3042,18.95
3043,18.95
3044,19.01
3045,19.01
3046,19.3
3047,19.3
3048,18.99
3049,18.99
3050,18.99
3051,19.03
3052,19.03
3053,19.05
3054,19.05
3055,19.12
3056,19.12
3057,19.12
3058,19.37
3059,19.37
3060,18.98
3061,18.98
3062,18.99
3063,18.99
3064,18.99
3065,19.01
3066,19.01
3067,18.99999591
3068,18.99
3069,18.99
3070,19.01
3071,19.01
3072,19.01
3073,19.03
3074,19.03
3075,19.05
3076,19.05
3077,19.02
3078,19.02
3079,19.02
3080,19.05
3081,19.05
3082,19.05
3083,19.05
3084,18.95
3085,18.95
3086,19.06
3087,19.06
3088,19.06
3089,19.05
3090,19.05
3091,19.01
3092,19.01
3093,19.12
3094,19.12
3095,19.12
3096,19.04
3097,19.04
3098,18.99
3099,18.99
3100,19.05
3101,19.05
3102,19.05
3103,18.98
3104,18.98
3105,19.02
3106,19.02
3107,18.95
3108,18.95
3109,18.95
3110,19.46
3111,19.46
3112,18.97
3113,18.97
3114,18.99
3115,18.99
3116,18.99
3117,19.11
3118,19.11
3119,19.0
3120,19.0
3121,19.03
3122,19.03
3123,19.03
3124,19.06
3125,19.06
3126,19.04
3127,19.04
3128,19.04
3129,19.06
3130,19.06
3131,19.0
3132,19.0
3133,19.02
3134,19.02
3135,19.07
3136,19.07
3137,19.07
3138,18.95
3139,18.95
3140,19.42
3141,19.42
3142,19.07
3143,19.07
3144,19.07
3145,19.07
3146,19.07
3147,19.14
3148,19.14
3149,19.0
3150,19.0
3151,19.32
3152,19.32
3153,19.32
3154,19.04
3155,19.04
3156,19.06
3157,19.06
3158,19.04
3159,19.04
3160,19.04
3161,19.09
3162,19.09
3163,19.1
3164,19.1
3165,19.06
3166,19.06
3167,19.01
3168,19.01
3169,19.13
3170,19.13
3171,19.13
3172,19.0
3173,19.0
3174,19.02
3175,19.02
3176,19.04
3177,19.04
3178,19.04
3179,19.01
3180,19.01
3181,19.03
3182,19.03
3183,19.01
3184,19.01
3185,19.01
3186,19.01
3187,19.01
3188,19.07
3189,19.07
3190,19.07
3191,19.09
3192,19.09
3193,19.03
3194,19.03
3195,18.99
3196,18.99
3197,19.04
3198,19.04
3199,19.04
3200,19.0
3201,19.0
3202,19.05
3203,19.05
3204,19.05
3205,19.35
3206,19.35
3207,19.06
3208,19.06
3209,19.05
3210,19.05
3211,19.05
3212,18.99
3213,18.99
3214,19.02
3215,19.02
3216,18.91
3217,18.91
3218,19.02
3219,19.02
3220,18.99
3221,18.99
3222,19.02
3223,19.02
3224,19.02
3225,19.0
3226,19.0
3227,19.04
3228,19.04
3229,19.05
3230,19.05
3231,19.05
3232,19.05
3233,19.05
3234,19.01
3235,19.01
3236,19.07
3237,19.07
3238,19.07
3239,18.96
3240,18.96
3241,19.03
3242,19.03
3243,18.94
3244,18.94
3245,18.94
3246,19.06
3247,19.06
3248,19.05
3249,19.05
3250,19.05
3251,19.05
3252,19.05
3253,19.06
3254,19.06
3255,19.02
3256,19.02
3257,19.05
3258,19.05
3259,19.05
3260,19.03553284
3261,19.02
3262,19.02
3263,19.03
3264,19.03
3265,19.01
3266,19.01
3267,19.01
3268,19.05
3269,19.05
3270,19.04
3271,19.04
3272,19.01
3273,19.01
3274,19.01
3275,19.38
3276,19.38
3277,18.95
3278,18.95
3279,19.09
3280,19.09
3281,19.0
3282,19.0
3283,19.0
3284,19.0
3285,19.0
3286,18.97
3287,18.97
3288,18.97
3289,18.97
3290,18.97
3291,19.04
3292,19.04
3293,19.02
3294,19.02
3295,18.97
3296,18.97
3297,18.97
3298,19.07
3299,19.07
3300,19.07
3301,19.07
3302,19.06
3303,19.06
3304,19.06
3305,18.94
3306,18.94
3307,19.38
3308,19.38
3309,18.93
3310,18.93
3311,18.93
3312,18.97
3313,18.97
3314,19.05
3315,19.05
3316,18.93
3317,18.93
3318,19.03
3319,19.03
3320,19.03
3321,19.01
3322,19.01
3323,19.0
3324,18.9911503
3325,19.0
3326,19.03
3327,19.03
3328,19.03
3329,18.97
3330,18.97
3331,19.03
3332,19.03
3333,19.01
3334,19.01
3335,18.91
3336,18.91
3337,19.0
3338,19.0
3339,19.0
3340,19.04
3341,19.04
3342,19.03
3343,19.03
3344,19.09
3345,19.09
3346,19.09
3347,18.98
3348,18.98
3349,19.04
3350,19.04
3351,19.05
3352,19.05
3353,19.05
3354,19.04
3355,19.04
3356,19.06
3357,19.06
3358,19.0
3359,19.0
3360,19.07
3361,19.07
3362,19.07
3363,19.11
3364,19.11
3365,19.08
3366,19.08
3367,19.47
3368,19.47
3369,19.47
3370,19.09
3371,19.09
3372,19.42
3373,19.42
3374,19.05
3375,19.05
3376,19.05
3377,18.98
3378,18.98
3379,19.12
3380,19.12
3381,19.12
3382,19.08
3383,19.08
3384,19.21
3385,19.21
3386,19.05
3387,19.05
3388,19.03
3389,19.03
3390,19.03
3391,19.2
3392,19.2
3393,19.08
3394,19.08
3395,19.11
3396,19.11
3397,19.17
3398,19.17
3399,19.17
3400,19.04
3401,19.04
3402,19.05
3403,19.05
3404,19.11
3405,19.11
3406,19.11
3407,19.02
3408,19.02
3409,19.01
3410,19.01
3411,19.0
3412,19.0
3413,19.0
3414,19.0
3415,19.0
3416,19.04
3417,19.04
3418,19.05
3419,19.05
3420,19.05
3421,19.07
3422,19.07
3423,19.07
3424,19.07
3425,19.06
3426,19.06
3427,19.06
3428,19.47
3429,19.47
3430,19.12
3431,19.12
3432,19.01
3433,19.01
3434,19.01
3435,19.06
3436,19.06
3437,18.96
3438,18.96
3439,18.96
3440,19.04
3441,19.04
3442,19.04
3443,19.04
3444,19.05
3445,19.05
3446,19.05
3447,19.07
3448,19.07
3449,18.97
3450,18.97
3451,19.08
3452,19.08
3453,19.08
3454,18.99
3455,18.99
3456,19.04
3457,19.04
3458,19.1
3459,19.1
3460,19.1
3461,19.13
3462,19.13
3463,19.09
3464,19.09
3465,19.09
3466,19.02
3467,19.02
3468,19.11
3469,19.11
3470,19.1
3471,19.1
3472,19.06
3473,19.06
3474,19.06
3475,19.05
3476,19.05
3477,19.09
3478,19.09
3479,19.08
3480,19.08
3481,19.08
3482,19.08
3483,19.08
3484,19.12
3485,19.12
3486,19.03
3487,19.03
3488,19.03
3489,19.47
3490,19.47
3491,19.09
3492,19.09
3493,19.06
3494,19.06
3495,19.06
3496,19.05
3497,19.05
3498,19.11
3499,19.11
3500,19.11
3501,19.02
3502,19.02
3503,19.15
3504,19.15
3505,18.95
3506,18.95
3507,19.02
3508,19.02
3509,19.0
3510,19.0
3511,19.0
3512,19.15
3513,19.15
3514,19.14
3515,19.14
3516,19.04
3517,19.04
3518,19.04
3519,19.1
3520,19.1
3521,19.04
3522,19.04
3523,19.02
3524,19.02
3525,19.02
3526,19.14
3527,19.14
3528,19.12
3529,19.12
3530,19.12
3531,19.12
3532,19.12
3533,19.17
3534,19.17
3535,19.03
3536,19.03
3537,19.11
3538,19.11
3539,19.11
3540,19.02
3541,19.02
3542,19.37
3543,19.37
3544,19.08
3545,19.08
3546,18.99
3547,18.99
3548,18.99
3549,19.02
3550,19.02
3551,19.01
3552,19.01
3553,19.01
3554,19.01
3555,19.01
3556,19.09
3557,19.09
3558,19.06
3559,19.06
3560,19.07
3561,19.07
3562,19.07
3563,19.07
3564,19.07
3565,19.03
3566,19.03
3567,19.04
3568,19.04
3569,19.08
3570,19.08
3571,19.08
3572,19.07
3573,19.07
3574,19.06
3575,19.06
3576,19.06
3577,19.06
3578,19.06
3579,19.45
3580,19.45
3581,19.08
3582,19.08
3583,19.01
3584,19.01
3585,19.01
3586,19.01
3587,19.11
3588,19.11
3589,19.02
3590,19.02
3591,19.04
3592,19.04
3593,19.04
3594,19.08
3595,19.08
3596,19.09
3597,19.09
3598,19.13
3599,19.13
3600,19.13
3601,19.01
3602,19.01
3603,19.07
3604,19.07
3605,19.09
3606,19.09
3607,19.09
3608,19.07
3609,19.07
3610,19.03
3611,19.03
3612,19.03
3613,19.03
3614,19.03
3615,19.07
3671,19.09
3676,18.97
3764,19.03
3765,19.03
3782,18.96
3783,18.96
3808,19.1
3809,19.1
3810,18.37192651
3811,19.06
3812,19.06
3813,19.1
3814,19.1
3815,19.26
3816,19.26
3854,18.62
3855,18.62
3860,19.0
3861,19.0
4180,19.34
4249,19.04
4250,19.04
4275,19.34
4276,19.34
4321,19.06
4322,19.06
4341,19.23
4342,19.23
4343,19.16
4344,19.16
4345,19.16
4346,19.21
4347,19.21
4348,19.21
4349,19.22
4350,19.22
4351,19.16
4352,19.16
4353,19.16
4354,19.38
4355,19.38
4356,19.38
4357,19.2
4358,19.2
4359,19.15
4360,19.15
4361,19.15
4362,19.18
4363,19.18
4364,19.18
4365,19.44
4366,19.44
4367,19.16
4368,19.16
4369,19.16
4370,19.48
4371,19.48
4372,19.43
4373,19.43
4374,19.43
4375,19.17
4376,19.17
4377,19.17
4378,19.09
4379,19.09
4380,19.16
4381,19.16
4382,19.16
4383,19.52
4384,19.52
4385,19.19
4386,19.19
4387,19.19
4388,19.5
4389,19.5
4390,19.49
4391,19.49
4392,19.49
4393,19.23
4394,19.23
4395,19.23
4396,19.08
4397,19.08
4398,19.26
4399,19.26
4400,19.26
4401,19.07
4402,19.07
4403,19.07
4404,19.19
4405,19.19
4406,19.05
4407,19.05
4408,19.05
4409,19.18
4410,19.18
4411,19.18
4412,19.1
4413,19.1
4414,19.11
4415,19.11
4416,19.14
4417,19.14
4418,19.14
4419,19.11
4420,19.11
4421,19.07
4422,19.07
4423,19.07
4424,19.37
4425,19.37
4426,19.48
4427,19.48
4428,19.48
4429,19.51
4430,19.51
4431,19.51
4432,19.19
4433,19.19
4434,19.1
4435,19.1
4436,19.1
4437,19.22
4438,19.22
4439,19.22
4440,19.44
4441,19.44
4442,19.09
4443,19.09
4444,19.09
4445,19.21
4446,19.21
4447,19.42
4448,19.42
4449,19.42
4450,19.21
4451,19.21
4452,19.49
4453,19.49
4454,19.49
4455,19.14
4456,19.14
4457,19.14
4458,19.49
4459,19.49
4460,19.27192648
4461,19.08
4462,19.08
4463,19.08
4464,19.08
4465,19.08
4466,19.15
4467,19.15
4468,19.2
4469,19.2
4470,19.2
4471,19.23
4472,19.23
4473,19.23
4474,19.47
4475,19.47
4476,19.47
4477,19.19
4478,19.19
4479,19.16
4480,19.16
4481,19.16
4482,19.12
4483,19.12
4484,19.14
4485,19.14
4486,19.14
4487,19.48
4488,19.48
4489,19.48
4490,19.16
4491,19.16
4492,19.1
4493,19.1
4494,19.1
4495,19.17
4496,19.17
4497,19.25
4498,19.25
4499,19.25
4500,19.14
4501,19.14
4502,19.14
4503,19.05
4504,19.05
4505,19.49
4506,19.49
4507,19.49
4508,19.51
4509,19.51
4510,19.51
4511,19.16
4512,19.16
4513,19.47
4514,19.47
4515,19.47
4516,19.32
4517,19.32
4518,19.32
4519,19.19
4520,19.19
4521,19.19
4522,19.19
4523,19.19
4524,19.18
4525,19.18
4526,19.19
4527,19.19
4528,19.19
4529,19.12
4530,19.12
4531,19.17
4532,19.17
4533,19.17
4534,19.56
4535,19.56
4536,19.08
4537,19.08
4538,19.08
4539,19.18
4540,19.18
4541,19.18
4542,19.06
4543,19.06
4544,19.14
4545,19.14
4546,19.14
4547,19.18
4548,19.18
4549,19.15
4550,19.15
4551,19.15
4552,19.1
4553,19.1
4554,19.1
4555,19.17
4556,19.17
4557,19.16
4558,19.16
4559,19.16
4560,19.15
4561,19.15
4562,19.15
4563,19.49
4564,19.49
4565,19.21
4566,19.21
4567,19.21
4568,19.22
4569,19.22
4570,19.55
4571,19.55
4572,19.55
4573,19.25
4574,19.25
4575,19.25
4576,19.22
4577,19.22
4578,19.09
4579,19.09
4580,19.09
4581,19.4
4582,19.4
4583,19.21
4584,19.21
4585,19.21
4586,19.12
4587,19.12
4588,19.12
4589,19.17
4590,19.17
4591,19.12
4592,19.12
4593,19.12
4594,19.18
4595,19.18
4596,18.98
4597,18.98
4598,18.98
4599,19.18
4600,19.18
4601,19.21
4602,19.21
4603,19.21
4604,19.12
4605,19.12
4606,19.08
4607,19.08
4608,19.08
4609,19.19
4610,19.19
4611,19.01
4612,19.01
4613,19.01
4614,19.03
4615,19.03
4616,19.08
4617,19.08
4618,19.08
4619,19.19
4620,19.19
4621,19.04
4622,19.04
4623,19.04
4624,19.1
4625,19.1
4626,19.04
4627,19.04
4628,19.04
4629,19.11
4630,19.11
4631,19.11
4632,19.21
4633,19.21
4634,19.14
4635,19.14
4636,19.14
4637,19.11
4638,19.11
4639,19.2
4640,19.2
4641,19.2
4642,19.1
4643,19.1
4644,19.12
4645,19.12
4646,19.12
4647,19.08
4648,19.08
4649,19.04
4650,19.04
4651,19.04
4652,19.29
4653,19.29
4654,19.09
4655,19.09
4656,19.09
4657,19.13
4658,19.13
4659,19.03
4660,19.03
4661,19.03
4662,19.14
4663,19.14
4664,19.07
4665,19.07
4666,19.07
4667,19.15
4668,19.15
4669,19.11
4670,19.11
4671,19.11
4672,19.41
4673,19.41
4674,19.41
4675,19.07
4676,19.07
4677,19.28
4678,19.28
4679,19.08
4680,19.08
4681,19.08
4682,19.08
4683,19.08
4684,19.13
4685,19.13
4686,19.13
4687,19.12
4688,19.12
4689,19.14
4690,19.14
4691,19.14
4692,19.06
4693,19.06
4694,19.31
4695,19.31
4696,19.31
4697,19.12
4698,19.12
4699,19.14
4700,19.14
4701,19.14
4702,19.14
4703,19.14
4704,19.14
4705,19.14
4706,19.08
4707,19.08
4708,19.08
4709,19.11
4710,19.11
4711,19.11
4712,19.01
4713,19.01
4714,19.35
4715,19.35
4716,19.35
4717,18.98
4718,18.98
4719,18.98
4720,19.06
4721,19.06
4722,18.94
4723,18.94
4724,18.94
4725,18.99
4726,18.99
4727,18.93
4728,18.93
4729,18.93
4730,18.94
4731,18.94
4732,18.94
4733,18.96
4734,18.96
4735,18.91
4736,18.91
4737,18.91
4738,19.05
4739,19.05
4740,19.05
4741,18.93
4742,18.93
4743,18.95
4744,18.95
4745,18.98
4746,18.98
4747,18.98
4748,19.01
4749,19.01
4750,19.06
4751,19.06
4752,19.06
4753,18.99
4754,18.99
4755,18.91
4756,18.91
4757,18.91
4758,18.91
4759,18.91
4760,19.1
4761,19.1
4762,18.96
4763,18.96
4764,18.96
4765,19.03
4766,19.03
4767,19.03
4768,18.99
4769,18.99
4770,18.93
4771,18.93
4772,18.93
4773,18.92
4774,18.92
4775,18.97
4776,18.97
4777,19.01
4778,19.01
4779,19.01
4780,19.02
4781,19.02
4782,18.97
4783,18.97
4784,18.97
4785,18.95
4786,18.95
4787,19.33
4788,19.33
4789,19.25
4790,19.25
4791,19.25
4792,18.99
4793,18.99
4794,18.99
4795,19.28
4796,19.28
4797,19.03
4798,19.03
4799,19.03
4800,18.98
4801,18.98
4802,19.09
4803,19.09
4804,19.0
4805,19.0
4806,19.0
4807,19.0
4808,19.0
4809,19.06
4810,19.06
4811,19.06
4812,19.03
4813,19.03
4814,19.03
4815,19.03
4816,19.03
4817,18.98
4818,18.98
4819,18.98
4820,19.06
4821,19.06
4822,19.13
4823,19.13
4824,19.13
4825,19.04
4826,19.04
4827,19.04
4828,19.03
4829,19.03
4830,18.92
4831,18.92
4832,18.94
4833,18.94
4834,18.94
4835,18.94
4836,18.94
4837,18.94
4838,18.99
4839,18.99
4840,19.29
4841,19.29
4842,19.29
4843,18.87
4844,18.87
4845,18.97
4846,18.97
4847,18.97
4848,19.22
4849,19.22
4850,18.88
4851,18.88
4852,18.85
4853,18.85
4854,18.85
4855,19.24
4856,19.24
4857,18.89
4858,18.89
4859,18.89
4860,19.22
4861,19.22
4862,18.97
4863,18.97
4864,18.97
4865,18.92
4866,18.92
4867,18.98
4868,18.98
4869,18.98
4870,18.88
4871,18.88
4872,18.91
4873,18.91
4874,18.86
4875,18.86
4876,18.86
4877,18.96
4878,18.96
4879,18.95
4880,18.95
4881,18.95
4882,18.9
4883,18.9
4884,18.89
4885,18.89
4886,18.92
4887,18.92
4888,18.92
4889,18.97
4890,18.97
4891,18.93
4892,18.93
4893,18.93
4894,18.92
4895,18.92
4896,18.9
4897,18.9
4898,19.05
4899,19.05
4900,19.05
4901,18.94
4902,18.94
4903,18.93
4904,18.93
4905,18.93
4906,18.93
4907,18.93
4908,18.93
4909,18.93
4910,18.93
4911,19.0
4912,19.0
4913,19.0
4914,18.95
4915,18.95
4916,18.96
4917,18.96
4918,18.96
4919,18.94
4920,18.94
4921,19.01
4922,19.01
4923,18.96
4924,18.96
4925,18.96
4926,18.93
4927,18.93
4928,18.92
4929,18.92
4930,19.36
4931,19.36
4932,19.36
4933,19.0
4934,19.0
4935,19.0
4936,18.9
4937,18.9
4938,18.9
4939,19.0
4940,19.0
4941,19.02
4942,19.02
4943,19.02
4944,18.95
4945,18.95
4946,19.19
4947,19.19
4948,19.19
4949,18.91
4950,18.91
4951,19.3
4952,19.3
4953,19.3
4954,19.39
4955,19.39
4956,18.95
4957,18.95
4958,18.95
4959,19.28
4960,19.28
4961,19.28
4962,18.99
4963,18.99
4964,19.24
4965,19.24
4966,19.24
4967,18.97
4968,18.97
4969,18.97
4970,18.89
4971,18.89
4972,18.96
4973,18.96
4974,18.96
4975,18.93
4976,18.93
4977,18.93
4978,18.92
4979,18.92
4980,18.91
4981,18.91
4982,18.91
4983,18.95
4984,18.95
4985,19.03
4986,19.03
4987,18.96
4988,18.96
4989,18.96
4990,19.27
4991,19.27
4992,19.27
4993,18.92
4994,18.92
4995,19.35
4996,19.35
4997,19.35
4998,19.25
4999,19.25
5000,18.97
5001,18.97
5002,18.97
5003,18.99
5004,18.99
5005,19.24
5006,19.24
5007,19.24
5008,19.28
5009,19.28
5010,19.22
5011,19.22
5012,19.22
5013,18.97
5014,18.97
5015,18.97
5016,19.01
5017,19.01
5018,18.98
5019,18.98
5020,19.31
5021,19.31
5022,19.23
5023,19.23
5024,19.23
5025,19.08
5026,19.08
5027,18.97
5028,18.97
5029,18.97
5030,18.92
5031,18.92
5032,18.92
5033,18.96
5034,18.96
5035,19.0
5036,19.0
5037,18.98
5038,18.98
5039,18.98
5040,18.91
5041,18.91
5042,18.97
5043,18.97
5044,18.97
5045,18.98
5046,18.98
5047,19.01
5048,19.01
5049,19.01
5050,18.93
5051,18.93
5052,18.93
5053,18.93
5054,18.93
5055,19.01
5056,19.01
5057,18.96
5058,18.96
5059,18.96
5060,19.25
5061,19.25
5062,19.01
5063,19.01
5064,19.01
5065,19.25
5066,19.25
5067,19.25
5068,18.96
5069,18.96
5070,19.26
5071,19.26
5072,19.26
5073,18.94
5074,18.94
5075,18.94
5076,18.97
5077,18.97
5078,19.28
5079,19.28
5080,19.28
5081,18.95
5082,18.95
5083,18.96
5084,18.96
5085,18.96
5086,18.96
5087,18.96
5088,19.26
5089,19.26
5090,19.26
5091,18.96
5092,18.96
5093,18.96
5094,18.98
5095,18.98
5096,18.95
5097,18.95
5098,18.95
5099,18.99
5100,18.99
5101,18.89
5102,18.89
5103,18.89
5104,19.23
5105,19.23
5106,19.23
5107,18.93
5108,18.93
5109,19.0
5110,19.0
5111,19.0
5112,18.95
